RUC;RAZON SOCIAL;NAME_SOUND;sadsad
3221676;MANTENIMIENTO AUTOMATIZACION Y NEGOCIOS TECNICOS ;MANTENIMIENTO_AUTOMATIZACION_Y_NEGOCIOS_TECNICOS_INDUSTRIALES;49
1071734;MUNICIPALIDAD  POBLADO VICTOR RAUL HAYA DE LA TORRE;MUNICIPALIDAD_DEL_CENTRO_POBLADO_VICTOR_RAUL_HAYA_DE_LA_TORRE;51
5856447;LILIANA ERIKA VASQUEZ MONTOYA Y ASOCIADOS;LILIANA_ERIKA_VASQUEZ_MONTOYA;41
5637579;SISTEMA IMPERMEABILIZACION GRANDES SUPERFICIES ARGENTINAS;SISTEMA_DE_IMPERMEABILIZACION_DE_GRANDES_SUPERFICIES_ARGENTINAS;57
6852829;GRUPO VISA DESARROLLADORES INMOBILIARIOS Y CONSTRUCTORES;GRUPO_VISA_DESARROLLADORES_INMOBILIARIOS_Y_CONSTRUCTORES;56
4815701;J K MESIA ASESORÍA CONSULTORÍA Y SOLUCIONES DE SEGURIDAD;JOTA_KA_MESIA_ASESORIA_CONSULTORIA_Y_SOLUCIONES_DE_SEGURIDAD;56
1403759;ACADEMIA LATINOAMERICANA DE MEDICINA Y CIRUGIA ESTETICA;ACADEMIA_LATINOAMERICANA_DE_MEDICINA_Y_CIRUGÍA_ESTÉTICA_E_I_ERE_ELE;55
8349534;EMPRESA DE LIMPIEZA MANTENIMIENTO Y PROYECTOS - ELIMPRO;EMPRESA_DE_LIMPIEZA_MANTENIMIENTO_Y_PROYECTOS;55
4054223;EMPRESA DE TRANSPORTE Y MULTISERVICIOS VALLE DEL NORTE;EMPRESA_DE_TRANSPORTE_Y_MULTISERVICIOS_VALLE_DEL_NORTE;54
3419046;EMPRESA DE TRANSPORTES Y SERVICIOS GENERALES SAGITARIO;EMPRESA_DE_TRANSPORTES_Y_SERVICIOS_GENERALES_SAGITARIO_ESE_ERE_ELE;54
4059476;J Y L SEGURIDAD INDUSTRIAL Y SUMINISTROS INDUSTRIALES;JOTA_Y_ELE_SEGURIDAD_INDUSTRIAL_Y_SUMINISTROS_INDUSTRIALES;53
3420042;JUNTA ADMINISTRADORA DE SERVICIOS DE SANEAMIENTO JASS;JUNTA_ADMINISTRADORA_DE_SERVICIOS_DE_SANEAMIENTO_JASS;53
4491957;INSTITUTO DE EDUCACION SUPERIOR TECNOLOGICO LEONARDO;INSTITUTO_DE_EDUCACION_SUPERIOR_TECNOLOGICO_LEONARDO;52
3250261;KONSULTORIO MEDIKO DE IMAGENES SEÑOR DE LOS MILAGROS;CONSULTORIO_MEDICO_DE_IMAGENES_SE_OR_DE_LOS_MILAGROS;52
7002799;SOLUCIONES GENERALES PARA TU HOGAR Y EMPRESA SHADDAI;SOLUCIONES_GENERALES_PARA_TU_HOGAR_Y_EMPRESA_SHADDAI_EMPRESA_INDIVIDUAL_DE_RESPONSABILIDAD_LIMITADA;52
2801251;CORPORACION RASEL INGENIEROS CONTRATISTAS GENERALES;CORPORACION_RASEL_INGENIEROS_CONTRATISTAS_GENERALES_ESE_A_CEE;51
6763839;DISTRIBUCIONES VENTAS Y SERVICIOS GENERALES MARCONA;DISTRIBUCIONES_VENTAS_Y_SERVICIOS_GENERALES_MARCONA;51
2195738;MUNICIPALIDADCIPALIDAD DISTRITAL DE TINGO DE PONAZA;MUNISIP_DISTRIT_DE_TINGO_DE_PONASA;51
4216694;SERVICIOS DE EDIFICACIONES Y TECNOLOGIA INTELIGENTE;SERVICIOS_DE_EDIFICACIONES_Y_TECNOLOGIA_INTELIGENTE;51
6911140;TÉCNICAS AMERICANAS DE ESTUDIO CONEXIÓN FUTURO PERÚ;TECNICAS_AMERICANAS_DE_ESTUDIO_CONEXION_FUTURO_PERU;51
4655975;INGENIERIA ELECTROMECANICA Y SANITARIA EL REDENTOR;INGENIERIA_ELECTROMECANICA_Y_SANITARIA_GUION_EL_REDENTOR_ESE_A_CEE;50
2217817;INSTITUCION EDUCATIVA PARTICULAR VIRGEN DEL CARMEN;INSTITUCION_EDUCATIVA_PARTICULAR_VIRGEN_DEL_CARMEN;50
7555728;SERVICIOS EDUCATIVOS CONSULTORA REPENSAR EDUCATIVO;SERVICIOS_EDUCATIVOS_CONSULTORA_REPENSAR_EDUCATIVO;50
8251184;CONTRATISTAS OBRAS INGENIERIA MINERIA Y SERVICIOS;CONTRATISTAS_OBRAS_INGENIERIA_MINERIA;49
6649017;DESARROLLO DE INGENIERIA Y CONSTRUCCION GENERALES;DESARROLLO_DE_INGENIERIA_Y_CONSTRUCCION_GENERALES;49
7019161;EMPRESA COMUNAL DE SERVICIOS MULTIPLES SAN MIGUEL;EMPRESA_COMUNAL_DE_SERVICIOS_MULTIPLES_SAN_MIGUEL;49
7564919;JUNTA DE PROPIETARIOS CALLE SAN IGNACIO DE LOYOLA;JUNTA_DE_PROPIETARIOS_CALLE_SAN_IGNACIO_DE_LOYOLA;49
2961680;ASOCIACIÓN DE TRABAJADORES DE CARGAS Y DESCARGAS;ASOCIACION_DE_TRABAJADORES_DE_CARGAS_Y_DESCARGAS;48
2343634;CORPORATIVO MULTISERVICIOS HERMANOS CHOQUEHUANCA;CORPORATIVO_MULTISERVICIOS_HERMANOS_CHOQUEHUANCA;48
3994664;DISTRIBUCION Y VENTA ESPECIALIZADA EN INGENIERIA;DISTRIBUCION_Y_VENTA_ESPECIALIZADA_EN_INGENIERIA;48
5397913;PROYECTOS Y MANTENIMIENTOS DE TELECOMUNICACIONES;PROYECTOS_Y_MANTENIMIENTOS_DE_TELECOMUNICACIONES;48
6354296;TERAPIAS INTEGRALES Y PSICOLOGICAS GRUPO IMPERIO;TERAPIAS_INTEGRALES_Y_PSICOLOGICAS_GRUPO_IMPERIO;48
3117856;TRANSPORTES Y NEGOCIOS GENERALES REYNA DEL CISNE;TRANSPORTES_Y_NEGOCIOS;48
8175786;COOPERATIVA DE SERVICIOS ESPECIALES SANTO TOMAS;COOPERATIVA_DE_SERVICIOS_ESPECIALES_SANTO_TOMAS;47
8697275;JUNTA DE PROPIETARIOS DEL EDIFICIO JACINTO LARA;JUNTA_DE_PROPIETARIOS_DEL_EDIFICIO_JACINTO_LARA;47
5380594;ZHEJIANG FIRST HYDRO & POWER CONSTRUCTION GROUP;ZIYIANG_FIRTS_AIDRO_AND_POUER;47
8687674;ENE Y ESE METAL MECANICA Y SERVICIOS GENERALES;ENE_Y_ESE_METAL_MECANICA_Y_SERVICIOS_GENERALES;46
6535377;INTEGRACION DE SERVICIOS EN TELECOMUNICACIONES;INTEGRACION_DE_SERVICIOS_EN_TELECOMUNICACIONES;46
2830960;ASOCIACION COMUNAL DEL CASERIO DE HIGROMPAMPA;COMUNAL_DEL_CASERIO_DE_HIGROMPAMPA;45
2102345;ESE EM CE MOUNTAIN EL TI DI SUKURSAL DEL PERU;SMC_MOUNTAIN_LTDSUCURSAL_DEL_PERU;45
5400363;GRUPO INTEGRAL EN TELECOMUNICACIONES DEL PERU;TELECOMUNICACIONES_DEL_PERU;45
1026332;INGENIERIA ELECTROMECANICA SANITARIA REDENTOR;INGENIERIA_ELECTROMECANICA_Y_SANITARIA_-_EL_REDENTOR;45
1035071;INGENIERÍA, EVALUACIÓN Y GESTIÓN DE PROYECTOS;INGENIERIA,_EVALUACION_Y_GESTIÓN_DE_PROYECTOS;45
1198396;MUNICIPALIDAD CP VICTOR RAUL HAYA DE LA TORRE;MUNICIPALIDAD_DEL_CENTRO_POBLADO_VICTOR_RAUL_HAYA_DE_LA_TORRE;45
1342794;MUNICIPALIDAD DE SANTO DOMINGO DE LOS OLLEROS;MUNICIPALIDAD_DE_SANTO_DOMINGO_DE_LOS_OLLEROS;45
9041378;PPS JOSE LUIS BUSTAMANTE Y RIVERO - PPS JLBYR;JOSE_LUIS_BUSTAMANTE_Y_RIVERO;45
