RUC;RAZON_SOCIAL;TERCEROS;COD_CIIU;ZONA;PAIS;SEGMENTO;RUBRO
3221676;PERU FASHIONS SAC;INTELIBPO;4936;LIMA;PERU;INDUSTRIAS MANUFACTURERAS;FABRICACI?N DE PRENDAS DE VESTIR EXCEPTO PRENDAS DE PIEL
1071734;CARBECHZ PERU S R L;INTELIBPO;6623;LIMA;PERU;ACTIVIDADES DE SERVICIOS ADMINISTRATIVAS Y DE APOYO;ACTIVIDADES DE SERVICIO DE SISTEMAS DE SEGURIDAD
5856447;GAM CORP S.A.;INTELIBPO;8886;LIMA;PERU;INDUSTRIAS MANUFACTURERAS;ELABORACI?N Y CONSERVACI?N DE PESCADOS CRUST?CEOS Y MOLUSCOS
5637579;THORMETAL EIRL;INTELIBPO;5089;LIMA;PERU;INDUSTRIAS MANUFACTURERAS;FABRICACI?N DE CARROCER?AS PARA VEH?CULOS AUTOMOTORES FABRICACI?N DE REMOLQUES Y SEMIRREMOLQUES
6852829;MUNICIPALIDAD PROVINCIAL DE CHICLAYO;INTELIBPO;9216;LAMBAYEQUE;PERU;ADMINISTRACI?N P?BLICA Y DEFENSA PLANES DE SEGURIDAD SOCIAL DE AFILIACI?N OBLIGATORIA;ACTIVIDADES DE LA ADMINISTRACI?N P?BLICA EN GENERAL
4815701;CORPORACION SEALER'S S.A.;INTELIBPO;4418;LIMA;PERU;INDUSTRIAS MANUFACTURERAS;OTRAS INDUSTRIAS MANUFACTURERAS NCP
1403759;CONSORCIO DE INVERSIONES SANTA FE S.A.C.;INTELIBPO;7782;LORETO;PERU;ACTIVIDADES ART?STICAS DE ENTRETENIMIENTO Y RECREATIVAS;OTRAS ACTIVIDADES DEPORTIVAS
8349534;BRAN INGENIEROS SOCIEDAD ANONIMA CERRADA;INTELIBPO;2896;PIURA;PERU;CONSTRUCCI?N;CONSTRUCCI?N DE EDIFICIOS
4054223;ESTUDIOS ABASTECIMIENTOS Y CONSTRUCCIONES POR INGENIEROS S.R.L;INTELIBPO;3939;LIMA;PERU;INDUSTRIAS MANUFACTURERAS;FABRICACI?N DE PRODUCTOS MET?LICOS PARA USO ESTRUCTURAL
3419046;JUNTA DE PROPIETARIOS DE VILLA MEDICA;INTELIBPO;2225;AREQUIPA;PERU;OTRAS ACTIVIDADES DE SERVICIOS;ACTIVIDADES DE OTRAS ASOCIACIONES NCP
4059476;PC MODA SAC;INTELIBPO;3395;LIMA;PERU;COMERCIO AL POR MAYOR Y AL POR MENOR REPARACI?N DE VEH?CULOS AUTOMOTORES Y MOTOCICLETAS;VENTA AL POR MAYOR DE PRODUCTOS TEXTILES PRENDAS DE VESTIR Y CALZADO
3420042;SISTEMA DE CODIFICACION SOCIEDAD ANONIMA;INTELIBPO;5834;LIMA;PERU;COMERCIO AL POR MAYOR Y AL POR MENOR REPARACI?N DE VEH?CULOS AUTOMOTORES Y MOTOCICLETAS;OTRAS ACTIVIDADES DE VENTA AL POR MENOR NO REALIZADAS EN COMERCIOS PUESTOS DE VENTA O MERCADOS
4491957;HOSPITAL JOSE AGURTO TELLO DE CHOSICA;INTELIBPO;9470;LIMA;PERU;ACTIVIDADES DE ATENCI?N DE LA SALUD HUMANA Y DE ASISTENCIA SOCIAL;ACTIVIDADES DE HOSPITALES
3250261;NET AXXES S.A.C.;INTELIBPO;5723;LIMA;PERU;INFORMACI?N Y COMUNICACIONES;OTRAS ACTIVIDADES DE TELECOMUNICACI?N
7002799;ABADIA MARTINS FERNANDO MARIA;INTELIBPO;8076;LIMA;PERU;COMERCIO AL POR MAYOR Y AL POR MENOR REPARACI?N DE VEH?CULOS AUTOMOTORES Y MOTOCICLETAS;VENTA AL POR MENOR DE ART?CULOS DE FERRETER?A PINTURAS Y PRODUCTOS DE VIDRIO EN COMERCIOS ESPECIALIZADOS
2801251;INSTITUTO DE EDUCACION SUPERIOR TECNOLOGICO PRIVADO LEONARDO DA VINCI S.A.C.;INTELIBPO;9259;LA LIBERTAD;PERU;ENSE?ANZA;ENSE?ANZA SUPERIOR
6763839;INVERSIONES TOMAS VALLE SAC;INTELIBPO;5768;LIMA;PERU;ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS;ACTIVIDADES DE RESTAURANTES Y DE SERVICIO M?VIL DE COMIDAS
2195738;EQUIPOS MECANICOS S.A.;INTELIBPO;3765;LIMA;PERU;COMERCIO AL POR MAYOR Y AL POR MENOR REPARACI?N DE VEH?CULOS AUTOMOTORES Y MOTOCICLETAS;VENTA AL POR MAYOR NO ESPECIALIZADA
4216694;STAFF REPRESENTACIONES S.A.;INTELIBPO;7537;LIMA;PERU;INDUSTRIAS MANUFACTURERAS;FORJA PRENSADO ESTAMPADO Y LAMINADO DE METALES PULVIMETALURGIA
6911140;REPRESENTACIONES YAGO S.A.C.;INTELIBPO;5622;LIMA;PERU;COMERCIO AL POR MAYOR Y AL POR MENOR REPARACI?N DE VEH?CULOS AUTOMOTORES Y MOTOCICLETAS;VENTA AL POR MAYOR NO ESPECIALIZADA
4655975;PROCESADORA PERU SOCIEDAD ANONIMA CERRADA;INTELIBPO;6234;LIMA;PERU;INDUSTRIAS MANUFACTURERAS;ELABORACI?N Y CONSERVACI?N DE FRUTASLEGUMBRES Y HORTALIZAS
2217817;BIOK INDUSTRIAS S A;INTELIBPO;5244;LIMA;PERU;INDUSTRIAS MANUFACTURERAS;FABRICACI?N DE OTROS PRODUCTOS ELABORADOS DE METAL NCP
7555728;HERCO COMBUSTIBLES S.A.;INTELIBPO;3628;LIMA;PERU;COMERCIO AL POR MAYOR Y AL POR MENOR REPARACI?N DE VEH?CULOS AUTOMOTORES Y MOTOCICLETAS;VENTA AL POR MAYOR DE COMBUSTIBLES S?LIDOS L?QUIDOS Y GASEOSOS Y  PRODUCTOS CONEXOS
8251184;ASOCIACION PAZ HOLANDESA;INTELIBPO;7449;AREQUIPA;PERU;ACTIVIDADES DE ATENCI?N DE LA SALUD HUMANA Y DE ASISTENCIA SOCIAL;ACTIVIDADES DE ATENCI?N DE ENFERMER?A EN INSTITUCIONES
6649017;CONSORCIO LA PARCELA S.A;INTELIBPO;6247;LIMA;PERU;INDUSTRIAS MANUFACTURERAS;ACABADO DE PRODUCTOS TEXTILES
7019161;MANTENIMIENTO Y TRANSPORTES MACK S.R.L.;INTELIBPO;3038;CALLAO;PERU;TRANSPORTE Y ALMACENAMIENTO;TRANSPORTE DE CARGA POR CARRETERA
7564919;AB SERVICIOS EMPRESARIALES SAC;INTELIBPO;3648;LIMA;PERU;ACTIVIDADES PROFESIONALES CIENT?FICAS Y T?CNICAS;ACTIVIDADES DE CONSULTOR?A DE GESTI?N
2961680;MUNICIPALIDAD DISTRITAL DE CANCHAQUE;INTELIBPO;7826;PIURA;PERU;ADMINISTRACI?N P?BLICA Y DEFENSA PLANES DE SEGURIDAD SOCIAL DE AFILIACI?N OBLIGATORIA;ACTIVIDADES DE LA ADMINISTRACI?N P?BLICA EN GENERAL
2343634;PERUVIAN SOURCING GROUP SAC;INTELIBPO;2499;LIMA;PERU;INDUSTRIAS MANUFACTURERAS;FABRICACI?N DE PRENDAS DE VESTIR EXCEPTO PRENDAS DE PIEL
3994664;INDUSTRIAL COMERCIAL PERUANA SOCIEDAD ANONIMA;INTELIBPO;8574;LIMA;PERU;COMERCIO AL POR MAYOR Y AL POR MENOR REPARACI?N DE VEH?CULOS AUTOMOTORES Y MOTOCICLETAS;OTRAS ACTIVIDADES DE VENTA AL POR MENOR NO REALIZADAS EN COMERCIOS PUESTOS DE VENTA O MERCADOS
5397913;IMPORTACIONES Y NEGOCIOS LA COLONIAL E.I.R.L.;INTELIBPO;5892;LIMA;PERU;COMERCIO AL POR MAYOR Y AL POR MENOR REPARACI?N DE VEH?CULOS AUTOMOTORES Y MOTOCICLETAS;VENTA AL POR MAYOR DE MATERIALES DE CONSTRUCCI?N ART?CULOS DE FERRETER?A Y EQUIPO Y MATERIALES DE FONTANER?A Y CALEFACCI?N
6354296;ASOCIACION MUTUALISTA DE OFICIALES DE LA PNP;INTELIBPO;4415;LIMA;PERU;OTRAS ACTIVIDADES DE SERVICIOS;ACTIVIDADES DE OTRAS ASOCIACIONES NCP
3117856;UNIDAD GESTION EDUCATIVA QUISPICANCHI;INTELIBPO;6100;CUSCO;PERU;ADMINISTRACI?N P?BLICA Y DEFENSA PLANES DE SEGURIDAD SOCIAL DE AFILIACI?N OBLIGATORIA;ACTIVIDADES DE LA ADMINISTRACI?N P?BLICA EN GENERAL
8175786;SUMINISTROS DEL VALLE SRLTDA;INTELIBPO;3073;LIMA;PERU;COMERCIO AL POR MAYOR Y AL POR MENOR REPARACI?N DE VEH?CULOS AUTOMOTORES Y MOTOCICLETAS;VENTA AL POR MAYOR DE ALIMENTOS BEBIDAS Y TABACO
8697275;SEGURIDAD Y PROTECCION BOUNCER SOCIEDAD ANONIMA CERRADA;INTELIBPO;4053;LIMA;PERU;ACTIVIDADES DE SERVICIOS ADMINISTRATIVAS Y DE APOYO;ACTIVIDADES DE SEGURIDAD PRIVADA
5380594;ESTUDIO RUIZ LEVEAU SOCIEDAD ANONIMA CERRADA;INTELIBPO;3405;LIMA;PERU;ACTIVIDADES PROFESIONALES CIENT?FICAS Y T?CNICAS;ACTIVIDADES DE CONTABILIDAD TENEDUR?A DE LIBROS Y AUDITOR?A CONSULTOR?A FISCAL
8687674;MUNICIP PROVINCIAL DE SAN ROMAN JULIACA;INTELIBPO;2725;PUNO;PERU;ADMINISTRACI?N P?BLICA Y DEFENSA PLANES DE SEGURIDAD SOCIAL DE AFILIACI?N OBLIGATORIA;ACTIVIDADES DE LA ADMINISTRACI?N P?BLICA EN GENERAL
6535377;ODE PEREYRA SOFIA INES;INTELIBPO;9149;LIMA;PERU;ACTIVIDADES PROFESIONALES CIENT?FICAS Y T?CNICAS;ACTIVIDADES JURIDICAS
2830960;ACOSTA COMBUSTIBLES S.A.C. - ACOSAC;INTELIBPO;4509;LA LIBERTAD;PERU;COMERCIO AL POR MAYOR Y AL POR MENOR REPARACI?N DE VEH?CULOS AUTOMOTORES Y MOTOCICLETAS;VENTA AL POR MENOR DE COMBUSTIBLES PARA VEH?CULOS AUTOMOTORES EN COMERCIOS ESPECIALIZADOS
2102345;AGROCHIMBOTE EIRL;INTELIBPO;3612;PIURA;PERU;TRANSPORTE Y ALMACENAMIENTO;TRANSPORTE DE CARGA POR CARRETERA
5400363;ZAMAC PERUANO S.R.LTDA.;INTELIBPO;3010;LIMA;PERU;INDUSTRIAS MANUFACTURERAS;FABRICACI?N DE OTROS PRODUCTOS ELABORADOS DE METAL NCP
1026332;PEAK QUALITY DEL PERU S.A.;INTELIBPO;8903;ICA;PERU;AGRICULTURA GANADERIA SILVICULTURA Y PESCA;CULTIVO DE HORTALIZAS Y MELONES RA?CES Y TUB?RCULOS
1035071;AURANDINA S.A.C.;INTELIBPO;7957;LIMA;PERU;INDUSTRIAS MANUFACTURERAS;ELABORACI?N DE OTROS PRODUCTOS ALIMENTICIOS NCP
1198396;TENDENCIAS & ACTITUDES SOCIEDAD ANONIMA CERRADA;INTELIBPO;8131;LIMA;PERU;ACTIVIDADES PROFESIONALES CIENT?FICAS Y T?CNICAS;ESTUDIOS DE MERCADO Y ENCUESTAS DE OPINI?N P?BLICA
1342794;EMPREX S.A.;INTELIBPO;4285;LIMA;PERU;COMERCIO AL POR MAYOR Y AL POR MENOR REPARACI?N DE VEH?CULOS AUTOMOTORES Y MOTOCICLETAS;VENTA AL POR MENOR DE ORDENADORES EQUIPO PERIF?RICO PROGRAMAS INFORM?TICOS Y EQUIPO DE TELECOMUNICACIONES EN COMERCIOS ESPECIALIZADOS
9041378;PERU DESINFECTING COMPANY S.A.C.;INTELIBPO;5568;CALLAO;PERU;INDUSTRIAS MANUFACTURERAS;OTRAS INDUSTRIAS MANUFACTURERAS NCP
1118746;C E P NTRA SENORA DE LA MERCED;INTELIBPO;6357;PUNO;PERU;ENSE?ANZA;ENSE?ANZA SECUNDARIA DE FORMACI?N GENERAL
9298254;UNIVERSIDAD NACIONAL DE SAN CRISTOBAL DH;INTELIBPO;5020;AYACUCHO;PERU;ENSE?ANZA;ENSE?ANZA SUPERIOR
2760341;SERVICIOS DE SEGURIDAD EQUS SAC;INTELIBPO;5085;LIMA;PERU;ACTIVIDADES DE SERVICIOS ADMINISTRATIVAS Y DE APOYO;ACTIVIDADES DE SEGURIDAD PRIVADA
1289159;ABELIN S.A.;INTELIBPO;5810;CALLAO;PERU;CONSTRUCCI?N;TERMINACI?N Y ACABADO DE EDIFICIOS
3130042;PROCESADOS INDUSTRIALES S.A.C.;INTELIBPO;8370;LIMA;PERU;OTRAS ACTIVIDADES DE SERVICIOS;LAVADO Y LIMPIEZA INCLUIDA LA LIMPIEZA EN SECO DE PRODUCTOS TEXTILES Y DE PIEL
4120608;SANCHEZ PAREDES SEGUNDO MANUEL;INTELIBPO;7612;LIMA;PERU;TRANSPORTE Y ALMACENAMIENTO;TRANSPORTE DE CARGA POR CARRETERA
7863499;CREACIONES KLEIDER EIRL;INTELIBPO;9967;LIMA;PERU;INDUSTRIAS MANUFACTURERAS;FABRICACI?N DE PRENDAS DE VESTIR EXCEPTO PRENDAS DE PIEL
